A,R,G,B
255,19,59,94
255,20,60,95
255,20,60,96
255,21,61,97
255,22,61,100
255,23,62,101
255,22,64,104
255,23,65,105
255,23,64,108
255,23,64,108
255,23,66,111
255,24,67,112
255,25,67,115
255,26,68,116
255,27,69,117
255,28,70,118
255,29,73,122
255,29,73,122
255,29,72,123
255,30,73,124
255,28,74,124
255,29,75,125
255,29,75,127
255,29,75,127
255,28,75,129
255,29,76,130
255,29,76,132
255,30,77,133
255,30,76,135
255,31,77,136
255,29,78,136
255,29,78,134
255,30,80,133
255,30,80,131
255,30,80,131
255,31,81,132
255,31,81,132
255,31,81,132
255,31,81,132
255,31,81,132
255,32,82,133
255,33,83,134
255,33,83,134
255,33,83,134
255,33,83,134
255,34,84,135
255,34,84,135
255,34,84,135
255,32,81,137
255,32,81,137
255,32,81,137
255,32,81,137
255,32,82,135
255,32,82,135
255,32,82,135
255,32,82,135
255,32,82,135
255,32,82,135
255,32,82,133
255,32,82,133
255,31,81,132
255,31,81,132
255,31,81,132
255,33,80,132
255,34,80,130
255,36,79,130
255,36,80,129
255,35,79,128
255,35,79,128
255,35,79,128
255,36,78,126
255,35,77,125
255,35,78,123
255,34,77,122
255,35,76,120
255,34,75,119
255,34,76,118
255,33,75,117
255,33,75,117
255,32,75,117
255,31,74,117
255,30,75,117
255,29,74,115
255,29,74,115
255,29,72,114
255,29,72,114
255,28,72,111
255,28,72,111
255,27,69,107
255,27,69,107
255,26,69,104
255,25,68,103
255,27,67,102
255,26,66,101
255,25,65,100
255,25,66,98
255,27,64,91
255,26,63,89
255,25,62,88
255,23,60,86
255,20,60,95
255,20,60,95
255,21,61,97
255,22,62,98
255,23,62,101
255,24,63,102
255,23,65,105
255,23,65,107
255,25,66,110
255,25,66,110
255,25,68,113
255,26,69,114
255,27,69,117
255,28,70,118
255,29,71,119
255,29,71,119
255,29,73,122
255,29,73,122
255,30,73,124
255,30,73,124
255,29,75,125
255,29,75,125
255,30,76,128
255,30,76,128
255,30,77,131
255,30,77,131
255,31,78,134
255,31,78,134
255,32,78,137
255,32,78,137
255,31,80,138
255,31,80,138
255,32,82,135
255,32,82,133
255,32,82,135
255,32,82,133
255,33,83,136
255,33,83,134
255,33,83,136
255,33,83,134
255,33,83,136
255,33,83,134
255,33,83,136
255,34,84,135
255,34,84,137
255,34,84,135
255,34,84,137
255,35,85,138
255,33,82,138
255,33,82,138
255,33,82,138
255,33,82,138
255,33,82,138
255,33,83,136
255,33,83,136
255,33,83,136
255,34,84,137
255,34,84,137
255,34,84,137
255,33,83,134
255,33,83,134
255,33,83,134
255,33,83,134
255,35,82,134
255,35,81,133
255,36,79,130
255,36,79,130
255,36,80,129
255,36,80,129
255,35,79,128
255,35,79,128
255,36,78,126
255,35,77,125
255,35,78,123
255,35,78,123
255,35,76,120
255,35,76,120
255,34,76,118
255,34,76,118
255,32,75,117
255,30,75,117
255,30,75,117
255,30,75,116
255,29,74,115
255,29,72,114
255,29,72,114
255,29,73,112
255,28,72,111
255,28,70,108
255,28,70,108
255,27,70,105
255,26,69,104
255,27,67,102
255,27,67,102
255,26,66,101
255,26,67,99
255,28,65,92
255,27,64,90
255,25,62,88
255,24,61,87
255,21,61,97
255,21,61,97
255,22,62,98
255,23,63,99
255,24,63,102
